lr,batch_size,epoch,wxh-stride,acc,loss,trial_num
0.0001,32.0,10.0,15x15-10,0.20989690721649484,2.750848764181137,4.5
0.0001,32.0,10.0,20x20-10,0.17754237288135594,2.774912657737732,4.5
0.0001,32.0,10.0,25x25-10,0.14583333333333331,2.794675703048706,4.5
0.0001,32.0,10.0,5x60-10,0.08204592901878914,2.833853178024292,4.5
0.0001,32.0,15.0,15x15-10,0.30061855670103094,2.6712558060884475,4.5
0.0001,32.0,15.0,20x20-10,0.28601694915254233,2.7089984083175658,4.5
0.0001,32.0,15.0,25x25-10,0.23157894736842102,2.745295570691426,4.5
0.0001,32.0,15.0,5x60-10,0.130062630480167,2.807958962122599,4.5
0.0001,32.0,20.0,15x15-10,0.36907216494845363,2.547227655351162,4.5
0.0001,32.0,20.0,20x20-10,0.35317796610169494,2.626342593828837,4.5
0.0001,32.0,20.0,25x25-10,0.28859649122807013,2.6903198226292924,4.5
0.0001,32.0,20.0,5x60-10,0.1582463465553236,2.775992301305135,4.5
0.0001,64.0,10.0,15x15-10,0.11072164948453607,2.821536859869957,4.5
0.0001,64.0,10.0,20x20-10,0.10699152542372883,2.8280666023492813,4.5
0.0001,64.0,10.0,25x25-10,0.0881578947368421,2.8352903962135314,4.5
0.0001,64.0,10.0,5x60-10,0.07286012526096033,2.854095682501793,4.5
0.0001,64.0,15.0,15x15-10,0.15257731958762885,2.7873095273971558,4.5
0.0001,64.0,15.0,20x20-10,0.13114406779661017,2.7997192651033402,4.5
0.0001,64.0,15.0,25x25-10,0.11337719298245615,2.813127079606056,4.5
0.0001,64.0,15.0,5x60-10,0.07620041753653446,2.842776456475258,4.5
0.0001,64.0,20.0,15x15-10,0.20907216494845357,2.7511707872152327,4.5
0.0001,64.0,20.0,20x20-10,0.18305084745762712,2.7708218455314637,4.5
0.0001,64.0,20.0,25x25-10,0.14473684210526314,2.7939588248729708,4.5
0.0001,64.0,20.0,5x60-10,0.08121085594989562,2.8326420903205873,4.5
0.0001,128.0,10.0,15x15-10,0.09237113402061854,2.8516459465026855,4.5
0.0001,128.0,10.0,20x20-10,0.08199152542372881,2.854203772544861,4.5
0.0001,128.0,10.0,25x25-10,0.08223684210526315,2.8564038813114165,4.5
0.0001,128.0,10.0,5x60-10,0.06889352818371607,2.867697459459305,4.5
0.0001,128.0,15.0,15x15-10,0.10350515463917527,2.834784471988678,4.5
0.0001,128.0,15.0,20x20-10,0.09216101694915253,2.8395037710666657,4.5
0.0001,128.0,15.0,25x25-10,0.08464912280701754,2.8425747573375704,4.5
0.0001,128.0,15.0,5x60-10,0.06951983298538622,2.8603468954563143,4.5
0.0001,128.0,20.0,15x15-10,0.11175257731958763,2.8195075511932375,4.5
0.0001,128.0,20.0,20x20-10,0.10063559322033899,2.827058255672455,4.5
0.0001,128.0,20.0,25x25-10,0.09035087719298243,2.8313754379749296,4.5
0.0001,128.0,20.0,5x60-10,0.07494780793319415,2.8544612348079683,4.5
0.001,32.0,10.0,15x15-10,0.9268041237113402,0.45892127277329564,4.5
0.001,32.0,10.0,20x20-10,0.9033898305084745,0.6112444333235423,4.5
0.001,32.0,10.0,25x25-10,0.8916666666666666,0.7266449850797653,4.5
0.001,32.0,10.0,5x60-10,0.42045929018789147,1.7499705219268802,4.5
0.001,32.0,15.0,15x15-10,0.9575257731958763,0.262577965343371,4.5
0.001,32.0,15.0,20x20-10,0.9595338983050847,0.2784884349505107,4.5
0.001,32.0,15.0,25x25-10,0.975,0.2714351543287436,4.5
0.001,32.0,15.0,5x60-10,0.5899791231732776,1.2539557540416717,4.5
0.001,32.0,20.0,15x15-10,0.9674226804123711,0.18557346255984158,4.5
0.001,32.0,20.0,20x20-10,0.9680084745762711,0.17423328481614592,4.5
0.001,32.0,20.0,25x25-10,0.9831140350877193,0.14282735280692577,4.5
0.001,32.0,20.0,5x60-10,0.6903966597077243,0.9257813632488252,4.5
0.001,64.0,10.0,15x15-10,0.7449484536082475,1.3972186967730522,4.5
0.001,64.0,10.0,20x20-10,0.6224576271186442,1.7089565604925157,4.5
0.001,64.0,10.0,25x25-10,0.5532894736842106,2.034094732999802,4.5
0.001,64.0,10.0,5x60-10,0.254070981210856,2.387126949429512,4.5
0.001,64.0,15.0,15x15-10,0.8874226804123714,0.7333426825702191,4.5
0.001,64.0,15.0,20x20-10,0.8514830508474576,0.959644116461277,4.5
0.001,64.0,15.0,25x25-10,0.8278508771929823,1.2064677007496356,4.5
0.001,64.0,15.0,5x60-10,0.39018789144050103,1.9850164771080017,4.5
0.001,64.0,20.0,15x15-10,0.9317525773195877,0.4421558029949665,4.5
0.001,64.0,20.0,20x20-10,0.9156779661016949,0.5784216567873954,4.5
0.001,64.0,20.0,25x25-10,0.9243421052631581,0.679886681586504,4.5
0.001,64.0,20.0,5x60-10,0.4695198329853863,1.7157257318496704,4.5
0.001,128.0,10.0,15x15-10,0.4010309278350516,2.4356112599372866,4.5
0.001,128.0,10.0,20x20-10,0.3855932203389831,2.563251292705536,4.5
0.001,128.0,10.0,25x25-10,0.3475877192982456,2.6319202959537504,4.5
0.001,128.0,10.0,5x60-10,0.17682672233820457,2.754191792011261,4.5
0.001,128.0,15.0,15x15-10,0.5865979381443298,1.8885538160800934,4.5
0.001,128.0,15.0,20x20-10,0.4849576271186441,2.1975320249795915,4.5
0.001,128.0,15.0,25x25-10,0.4576754385964913,2.3634699165821074,4.5
0.001,128.0,15.0,5x60-10,0.21231732776617954,2.6103464007377624,4.5
0.001,128.0,20.0,15x15-10,0.771340206185567,1.3305259376764298,4.5
0.001,128.0,20.0,20x20-10,0.6275423728813561,1.7012414991855622,4.5
0.001,128.0,20.0,25x25-10,0.5611842105263157,1.9658435821533202,4.5
0.001,128.0,20.0,5x60-10,0.25929018789144054,2.3848327696323395,4.5
0.01,32.0,10.0,15x15-10,0.9717525773195875,0.09581552373929299,4.5
0.01,32.0,10.0,20x20-10,0.9900423728813559,0.035268740165823445,4.5
0.01,32.0,10.0,25x25-10,1.0,0.007260574724059552,4.5
0.01,32.0,10.0,5x60-10,0.707098121085595,0.7899578412373861,4.5
0.01,32.0,15.0,15x15-10,0.9814432989690722,0.07742369065745151,4.5
0.01,32.0,15.0,20x20-10,0.9923728813559324,0.02251674419036135,4.5
0.01,32.0,15.0,25x25-10,1.0,0.003817466287097583,4.5
0.01,32.0,15.0,5x60-10,0.7246346555323591,0.7848413376013439,4.5
0.01,32.0,20.0,15x15-10,0.9845360824742269,0.0822642690534849,4.5
0.01,32.0,20.0,20x20-10,0.9930084745762713,0.019836539078193407,4.5
0.01,32.0,20.0,25x25-10,1.0,0.002875770440344544,4.5
0.01,32.0,20.0,5x60-10,0.7231732776617954,0.8236359246571858,4.5
0.01,64.0,10.0,15x15-10,0.970721649484536,0.10420210249722003,4.5
0.01,64.0,10.0,20x20-10,0.9817796610169494,0.06829969543032348,4.5
0.01,64.0,10.0,25x25-10,0.9967105263157894,0.02905987038393505,4.5
0.01,64.0,10.0,5x60-10,0.650313152400835,0.9158553361892701,4.5
0.01,64.0,15.0,15x15-10,0.9816494845360826,0.0749200307414867,4.5
0.01,64.0,15.0,20x20-10,0.9885593220338983,0.044181171304080634,4.5
0.01,64.0,15.0,25x25-10,0.9971491228070175,0.016699944192077966,4.5
0.01,64.0,15.0,5x60-10,0.7058455114822547,0.7962385017424822,4.5
0.01,64.0,20.0,15x15-10,0.9843298969072165,0.06141985781141557,4.5
0.01,64.0,20.0,20x20-10,0.9864406779661016,0.0407749119316577,4.5
0.01,64.0,20.0,25x25-10,0.9993421052631579,0.008478588830621447,4.5
0.01,64.0,20.0,5x60-10,0.7398747390396659,0.7376078642904759,4.5
0.01,128.0,10.0,15x15-10,0.9536082474226804,0.17926515620201827,4.5
0.01,128.0,10.0,20x20-10,0.9699152542372881,0.14575015753507614,4.5
0.01,128.0,10.0,25x25-10,0.9785087719298247,0.10633843867108225,4.5
0.01,128.0,10.0,5x60-10,0.6379958246346555,0.9972728356719017,4.5
