lr,batch_size,epoch,wxh-stride,acc,loss,trial_num
0.0001,32.0,10.0,15x15-10,0.07095588235294117,2.88847796496223,2.0
0.0001,32.0,10.0,20x20-10,0.0669172932330827,2.88855042738073,2.0
0.0001,32.0,10.0,25x25-10,0.07339805825242716,2.888517562080832,2.0
0.0001,32.0,10.0,5x60-10,0.06419294990723563,2.8883230209350588,2.0
0.0001,32.0,15.0,15x15-10,0.06654411764705882,2.887905204997343,2.0
0.0001,32.0,15.0,20x20-10,0.06353383458646616,2.8877958045286287,2.0
0.0001,32.0,15.0,25x25-10,0.069126213592233,2.887712585224825,2.0
0.0001,32.0,15.0,5x60-10,0.06716141001855289,2.8874870356391455,2.0
0.0001,32.0,20.0,15x15-10,0.06911764705882353,2.8871576729942765,2.0
0.0001,32.0,20.0,20x20-10,0.07067669172932331,2.887022439171286,2.0
0.0001,32.0,20.0,25x25-10,0.06951456310679613,2.8869906677919275,2.0
0.0001,32.0,20.0,5x60-10,0.06641929499072356,2.886889482946957,2.0
0.0001,64.0,10.0,15x15-10,0.061764705882352944,2.8895409425099694,2.0
0.0001,64.0,10.0,20x20-10,0.06466165413533835,2.889347643322415,2.0
0.0001,64.0,10.0,25x25-10,0.07805825242718446,2.8890274418724906,2.0
0.0001,64.0,10.0,5x60-10,0.0653061224489796,2.889109293619792,2.0
0.0001,64.0,15.0,15x15-10,0.06838235294117648,2.8889939308166506,2.0
0.0001,64.0,15.0,20x20-10,0.06466165413533834,2.8889708571963846,2.0
0.0001,64.0,15.0,25x25-10,0.07067961165048543,2.888526333702935,2.0
0.0001,64.0,15.0,5x60-10,0.06604823747680891,2.888738356696235,2.0
0.0001,64.0,20.0,15x15-10,0.06654411764705884,2.8885570049285887,2.0
0.0001,64.0,20.0,20x20-10,0.06842105263157894,2.888620551427205,2.0
0.0001,64.0,20.0,25x25-10,0.069126213592233,2.8883957333034935,2.0
0.0001,64.0,20.0,5x60-10,0.06345083487940631,2.888466919793023,2.0
0.0001,128.0,10.0,15x15-10,0.05919117647058823,2.8899945926666257,2.0
0.0001,128.0,10.0,20x20-10,0.05827067669172932,2.889614572525024,2.0
0.0001,128.0,10.0,25x25-10,0.0683495145631068,2.8891847991943362,2.0
0.0001,128.0,10.0,5x60-10,0.06456400742115027,2.889616937637329,2.0
0.0001,128.0,15.0,15x15-10,0.06066176470588236,2.889560604095459,2.0
0.0001,128.0,15.0,20x20-10,0.059774436090225556,2.889624471664429,2.0
0.0001,128.0,15.0,25x25-10,0.07223300970873785,2.8885084342956544,2.0
0.0001,128.0,15.0,5x60-10,0.06641929499072355,2.889291820526123,2.0
0.0001,128.0,20.0,15x15-10,0.06360294117647058,2.8893508243560797,2.0
0.0001,128.0,20.0,20x20-10,0.07105263157894735,2.8895232105255126,2.0
0.0001,128.0,20.0,25x25-10,0.07145631067961164,2.8891169357299806,2.0
0.0001,128.0,20.0,5x60-10,0.06493506493506493,2.8892891311645506,2.0
0.001,32.0,10.0,15x15-10,0.06691176470588235,2.8791042804718017,2.0
0.001,32.0,10.0,20x20-10,0.06842105263157894,2.878989752601175,2.0
0.001,32.0,10.0,25x25-10,0.06524271844660193,2.880963157205021,2.0
0.001,32.0,10.0,5x60-10,0.06901669758812616,2.878893818574793,2.0
0.001,32.0,15.0,15x15-10,0.06838235294117646,2.8736852281233842,2.0
0.001,32.0,15.0,20x20-10,0.06954887218045114,2.8744498084573187,2.0
0.001,32.0,15.0,25x25-10,0.06524271844660194,2.878528735216926,2.0
0.001,32.0,15.0,5x60-10,0.06975881261595548,2.872593551523545,2.0
0.001,32.0,20.0,15x15-10,0.0672794117647059,2.8453819667591764,2.0
0.001,32.0,20.0,20x20-10,0.06315789473684211,2.8515407926896037,2.0
0.001,32.0,20.0,25x25-10,0.0683495145631068,2.847951894647935,2.0
0.001,32.0,20.0,5x60-10,0.06975881261595547,2.658374404907226,2.0
0.001,64.0,10.0,15x15-10,0.06985294117647059,2.883552228079902,2.0
0.001,64.0,10.0,20x20-10,0.06917293233082707,2.883248805999756,2.0
0.001,64.0,10.0,25x25-10,0.06640776699029126,2.8841843446095785,2.0
0.001,64.0,10.0,5x60-10,0.0719851576994434,2.883100043402778,2.0
0.001,64.0,15.0,15x15-10,0.06911764705882353,2.880793958240085,2.0
0.001,64.0,15.0,20x20-10,0.06804511278195488,2.8808417956034345,2.0
0.001,64.0,15.0,25x25-10,0.06563106796116505,2.8829245726267496,2.0
0.001,64.0,15.0,5x60-10,0.06975881261595547,2.8808545642428927,2.0
0.001,64.0,20.0,15x15-10,0.06727941176470588,2.8783592806922065,2.0
0.001,64.0,20.0,20x20-10,0.06729323308270677,2.8791998757256403,2.0
0.001,64.0,20.0,25x25-10,0.06524271844660193,2.8792165703243677,2.0
0.001,64.0,20.0,5x60-10,0.07012987012987013,2.879473288853963,2.0
0.001,128.0,10.0,15x15-10,0.06948529411764706,2.886665458679199,2.0
0.001,128.0,10.0,20x20-10,0.06954887218045111,2.886161346435547,2.0
0.001,128.0,10.0,25x25-10,0.07184466019417476,2.886585369110107,2.0
0.001,128.0,10.0,5x60-10,0.06641929499072355,2.8861820316314697,2.0
0.001,128.0,15.0,15x15-10,0.06838235294117648,2.8845147323608393,2.0
0.001,128.0,15.0,20x20-10,0.06917293233082707,2.8846481132507322,2.0
0.001,128.0,15.0,25x25-10,0.06524271844660193,2.8853039169311523,2.0
0.001,128.0,15.0,5x60-10,0.06827458256029685,2.8845197772979736,2.0
0.001,128.0,20.0,15x15-10,0.06875,2.8824932289123533,2.0
0.001,128.0,20.0,20x20-10,0.06804511278195488,2.8836332321166993,2.0
0.001,128.0,20.0,25x25-10,0.06368932038834951,2.8826324939727783,2.0
0.001,128.0,20.0,5x60-10,0.06493506493506493,2.883933124542236,2.0
0.01,32.0,10.0,15x15-10,0.6073529411764707,1.1007174164056779,2.0
0.01,32.0,10.0,20x20-10,0.5503759398496241,1.5786064274170821,2.0
0.01,32.0,10.0,25x25-10,0.4178640776699029,1.6370692400371325,2.0
0.01,32.0,10.0,5x60-10,0.363265306122449,1.6622039907118853,2.0
0.01,32.0,15.0,15x15-10,0.8511029411764707,0.5055620102583335,2.0
0.01,32.0,15.0,20x20-10,0.8793233082706766,0.3517951518790249,2.0
0.01,32.0,15.0,25x25-10,0.5223300970873787,4.81975870616734,2.0
0.01,32.0,15.0,5x60-10,0.4775510204081632,1.4787651391590344,2.0
0.01,32.0,20.0,15x15-10,0.8941176470588236,0.5440273461760678,2.0
0.01,32.0,20.0,20x20-10,0.6488721804511278,1.0515177733514816,2.0
0.01,32.0,20.0,25x25-10,0.6528155339805826,1.044515535564107,2.0
0.01,32.0,20.0,5x60-10,0.4437847866419295,1.594113324319615,2.0
0.01,64.0,10.0,15x15-10,0.15588235294117644,2.505758259031508,2.0
0.01,64.0,10.0,20x20-10,0.14924812030075188,2.5493078019883897,2.0
0.01,64.0,10.0,25x25-10,0.08466019417475727,2.9912970860799155,2.0
0.01,64.0,10.0,5x60-10,0.14471243042671614,2.4276312669118245,2.0
0.01,64.0,15.0,15x15-10,0.5731617647058823,1.2616997668053955,2.0
0.01,64.0,15.0,20x20-10,0.41578947368421054,1.882582889189426,2.0
0.01,64.0,15.0,25x25-10,0.13941747572815535,2.5413141806920363,2.0
0.01,64.0,15.0,5x60-10,0.2823747680890538,1.876331991619534,2.0
0.01,64.0,20.0,15x15-10,0.5893382352941176,1.0635045354978907,2.0
0.01,64.0,20.0,20x20-10,0.6733082706766919,0.8539111110126315,2.0
0.01,64.0,20.0,25x25-10,0.25902912621359225,2.132216413815816,2.0
0.01,64.0,20.0,5x60-10,0.31243042671614096,2.123201428519355,2.0
0.01,128.0,10.0,15x15-10,0.06875,2.8510912895202636,2.0
0.01,128.0,10.0,20x20-10,0.07142857142857142,2.8505093002319333,2.0
0.01,128.0,10.0,25x25-10,0.07378640776699028,2.863313198089599,2.0
0.01,128.0,10.0,5x60-10,0.05120593692022264,2.740598773956299,2.0
0.01,128.0,15.0,15x15-10,0.09705882352941177,2.7784845542907712,2.0
0.01,128.0,15.0,20x20-10,0.10864661654135337,2.6271824264526367,2.0
0.01,128.0,15.0,25x25-10,0.09398058252427184,2.670837860107422,2.0
0.01,128.0,15.0,5x60-10,0.1443413729128015,2.459358043670654,2.0
0.01,128.0,20.0,15x15-10,0.2,2.3719487237930297,2.0
0.01,128.0,20.0,20x20-10,0.07932330827067668,2.776779441833496,2.0
0.01,128.0,20.0,25x25-10,0.11495145631067963,2.3997357273101807,2.0
0.01,128.0,20.0,5x60-10,0.16103896103896104,2.405130467414856,2.0
