lr,batch_size,epoch,wxh-stride,acc,loss,trial_num
0.0001,32.0,10.0,15x15-10,0.45055147058823525,2.3301512620028326,4.5
0.0001,32.0,10.0,20x20-10,0.41372180451127816,2.443653269375072,4.5
0.0001,32.0,10.0,25x25-10,0.40757281553398056,2.5484662560855638,4.5
0.0001,32.0,10.0,5x60-10,0.2077922077922078,2.7097711759455065,4.5
0.0001,32.0,15.0,15x15-10,0.5959558823529412,1.9107093965306,4.5
0.0001,32.0,15.0,20x20-10,0.5011278195488721,2.1116469726842992,4.5
0.0001,32.0,15.0,25x25-10,0.49106796116504847,2.3128290176391606,4.5
0.0001,32.0,15.0,5x60-10,0.2597402597402597,2.58411549540127,4.5
0.0001,32.0,20.0,15x15-10,0.7538602941176471,1.4728329588385187,4.5
0.0001,32.0,20.0,20x20-10,0.6676691729323309,1.722654024993672,4.5
0.0001,32.0,20.0,25x25-10,0.5957281553398058,2.0173932412091427,4.5
0.0001,32.0,20.0,5x60-10,0.31243042671614096,2.4146281719207763,4.5
0.0001,64.0,10.0,15x15-10,0.32242647058823526,2.6454825454288056,4.5
0.0001,64.0,10.0,20x20-10,0.30357142857142855,2.68125069671207,4.5
0.0001,64.0,10.0,25x25-10,0.2518446601941748,2.722558175192939,4.5
0.0001,64.0,10.0,5x60-10,0.10667903525046382,2.7971470461951364,4.5
0.0001,64.0,15.0,15x15-10,0.39558823529411763,2.5043726894590588,4.5
0.0001,64.0,15.0,20x20-10,0.3674812030075188,2.5671936776902937,4.5
0.0001,64.0,15.0,25x25-10,0.33941747572815534,2.6383997042973837,4.5
0.0001,64.0,15.0,5x60-10,0.1575139146567718,2.758853096432156,4.5
0.0001,64.0,20.0,15x15-10,0.45257352941176465,2.335787357224358,4.5
0.0001,64.0,20.0,20x20-10,0.41560150375939847,2.4336664173338147,4.5
0.0001,64.0,20.0,25x25-10,0.40660194174757286,2.545647920502556,4.5
0.0001,64.0,20.0,5x60-10,0.1946196660482375,2.7096752484639484,4.5
0.0001,128.0,10.0,15x15-10,0.1849264705882353,2.7673320865631106,4.5
0.0001,128.0,10.0,20x20-10,0.18289473684210525,2.7835912418365476,4.5
0.0001,128.0,10.0,25x25-10,0.15922330097087378,2.7985979986190794,4.5
0.0001,128.0,10.0,5x60-10,0.08441558441558442,2.836760320663452,4.5
0.0001,128.0,15.0,15x15-10,0.2621323529411764,2.7066482973098758,4.5
0.0001,128.0,15.0,20x20-10,0.25319548872180453,2.730877766609192,4.5
0.0001,128.0,15.0,25x25-10,0.1980582524271845,2.758118233680725,4.5
0.0001,128.0,15.0,5x60-10,0.0914656771799629,2.8181771183013913,4.5
0.0001,128.0,20.0,15x15-10,0.32683823529411765,2.6441748762130732,4.5
0.0001,128.0,20.0,20x20-10,0.30582706766917295,2.6812210035324098,4.5
0.0001,128.0,20.0,25x25-10,0.2580582524271845,2.71867027759552,4.5
0.0001,128.0,20.0,5x60-10,0.10222634508348794,2.7993197679519652,4.5
0.001,32.0,10.0,15x15-10,0.9970588235294116,0.06231633384218986,4.5
0.001,32.0,10.0,20x20-10,0.9973684210526315,0.08363745457985822,4.5
0.001,32.0,10.0,25x25-10,0.9963106796116504,0.10184703272055178,4.5
0.001,32.0,10.0,5x60-10,0.8586270871985157,0.5574151600108427,4.5
0.001,32.0,15.0,15x15-10,0.9987132352941176,0.029331891824874813,4.5
0.001,32.0,15.0,20x20-10,0.9988721804511277,0.03613893770996262,4.5
0.001,32.0,15.0,25x25-10,0.999223300970874,0.04167872739627081,4.5
0.001,32.0,15.0,5x60-10,0.9040816326530614,0.31641520901637915,4.5
0.001,32.0,20.0,15x15-10,0.9988970588235293,0.01806012113195132,4.5
0.001,32.0,20.0,20x20-10,0.9996240601503759,0.021133010478361566,4.5
0.001,32.0,20.0,25x25-10,0.9996116504854369,0.02403930518913137,4.5
0.001,32.0,20.0,5x60-10,0.9103896103896105,0.26817528675584235,4.5
0.001,64.0,10.0,15x15-10,0.9919117647058823,0.3181101991070642,4.5
0.001,64.0,10.0,20x20-10,0.9793233082706767,0.4445234907997979,4.5
0.001,64.0,10.0,25x25-10,0.9621359223300973,0.5718087683121363,4.5
0.001,64.0,10.0,5x60-10,0.6170686456400742,1.4993156949679056,4.5
0.001,64.0,15.0,15x15-10,0.995404411764706,0.11568292015128664,4.5
