lr,batch_size,epoch,wxh-stride,acc,loss,trial_num
0.0001,32.0,10.0,15x15-10,1.0,0.04618578925728798,2.0
0.0001,32.0,10.0,20x20-10,0.9996240601503759,0.048114710388814694,2.0
0.0001,32.0,10.0,25x25-10,0.9988349514563106,0.1254082322778071,2.0
0.0001,32.0,10.0,5x60-10,0.9974025974025974,0.0479802729890627,2.0
0.0001,32.0,15.0,15x15-10,0.9988970588235293,0.028680714679991497,2.0
0.0001,32.0,15.0,20x20-10,1.0,0.027481524569585046,2.0
0.0001,32.0,15.0,25x25-10,0.9988349514563106,0.08892251042210882,2.0
0.0001,32.0,15.0,5x60-10,0.9996289424860854,0.02278696785626166,2.0
0.0001,32.0,20.0,15x15-10,0.9988970588235293,0.01878935855210704,2.0
0.0001,32.0,20.0,20x20-10,0.9996240601503759,0.016537176954614766,2.0
0.0001,32.0,20.0,25x25-10,0.9980582524271844,0.09671729151707362,2.0
0.0001,32.0,20.0,5x60-10,0.9985157699443412,0.020522420628763298,2.0
0.0001,64.0,10.0,15x15-10,0.9974264705882353,0.14079315149121813,2.0
0.0001,64.0,10.0,20x20-10,0.9977443609022556,0.15956014692783355,2.0
0.0001,64.0,10.0,25x25-10,0.9965048543689321,0.30809998926189214,2.0
0.0001,64.0,10.0,5x60-10,0.9951762523191097,0.1350370071000523,2.0
0.0001,64.0,15.0,15x15-10,0.9988970588235293,0.06555108415583769,2.0
0.0001,64.0,15.0,20x20-10,1.0,0.07143940966990259,2.0
0.0001,64.0,15.0,25x25-10,0.9984466019417475,0.2138151561220487,2.0
0.0001,64.0,15.0,5x60-10,0.9988868274582561,0.06315573900938035,2.0
0.0001,64.0,20.0,15x15-10,1.0,0.03725703118575944,2.0
0.0001,64.0,20.0,20x20-10,1.0,0.042939766827556826,2.0
0.0001,64.0,20.0,25x25-10,0.9980582524271846,0.21730567887425423,2.0
0.0001,64.0,20.0,5x60-10,0.9996289424860854,0.03840322035054365,2.0
0.0001,128.0,10.0,15x15-10,0.9691176470588235,0.6321823298931121,2.0
0.0001,128.0,10.0,20x20-10,0.9725563909774436,0.7489093267917634,2.0
0.0001,128.0,10.0,25x25-10,0.9518446601941747,1.0451006865501404,2.0
0.0001,128.0,10.0,5x60-10,0.9743970315398887,0.6357930600643158,2.0
0.0001,128.0,15.0,15x15-10,0.9970588235294118,0.26187910020351407,2.0
0.0001,128.0,15.0,20x20-10,0.9981203007518797,0.287481637597084,2.0
0.0001,128.0,15.0,25x25-10,0.996116504854369,0.5407875120639801,2.0
0.0001,128.0,15.0,5x60-10,0.996660482374768,0.2483449023962021,2.0
0.0001,128.0,20.0,15x15-10,0.9992647058823529,0.12561187714338304,2.0
0.0001,128.0,20.0,20x20-10,0.9996240601503759,0.15472155749797822,2.0
0.0001,128.0,20.0,25x25-10,0.9965048543689321,0.4579616913199425,2.0
0.0001,128.0,20.0,5x60-10,0.9962894248608535,0.1293269169330597,2.0
0.001,32.0,10.0,15x15-10,1.0,0.0021274149202166457,2.0
0.001,32.0,10.0,20x20-10,1.0,0.0017913365318878171,2.0
0.001,32.0,10.0,25x25-10,0.9976699029126215,0.058278661659535234,2.0
0.001,32.0,10.0,5x60-10,0.9988868274582561,0.005637285429710413,2.0
