lr,batch_size,epoch,wxh-stride,acc,loss,trial_num
0.0001,32.0,10.0,15x15-10,0.07077205882352941,2.8887670334647684,4.5
0.0001,32.0,10.0,20x20-10,0.06353383458646615,2.888923499163459,4.5
0.0001,32.0,10.0,25x25-10,0.06679611650485437,2.8887359829509967,4.5
0.0001,32.0,10.0,5x60-10,0.05918367346938776,2.889318871498108,4.5
0.0001,32.0,15.0,15x15-10,0.07113970588235294,2.888034440489376,4.5
0.0001,32.0,15.0,20x20-10,0.06672932330827068,2.8880360687480255,4.5
0.0001,32.0,15.0,25x25-10,0.06990291262135921,2.8875640027663283,4.5
0.0001,32.0,15.0,5x60-10,0.06474953617810761,2.888278613371008,4.5
0.0001,32.0,20.0,15x15-10,0.07389705882352941,2.8872279012904447,4.5
0.0001,32.0,20.0,20x20-10,0.06484962406015038,2.8866753816604613,4.5
0.0001,32.0,20.0,25x25-10,0.06679611650485437,2.8868958346983966,4.5
0.0001,32.0,20.0,5x60-10,0.06233766233766234,2.8874309876385857,4.5
0.0001,64.0,10.0,15x15-10,0.06893382352941176,2.8896919488906865,4.5
0.0001,64.0,10.0,20x20-10,0.059398496240601506,2.8897577550676137,4.5
0.0001,64.0,10.0,25x25-10,0.05669902912621359,2.8895539813571505,4.5
0.0001,64.0,10.0,5x60-10,0.05974025974025974,2.8899196836683485,4.5
0.0001,64.0,15.0,15x15-10,0.06672794117647059,2.8892530812157524,4.5
0.0001,64.0,15.0,20x20-10,0.062218045112781964,2.8893956449296736,4.5
0.0001,64.0,15.0,25x25-10,0.06543689320388349,2.88878783914778,4.5
0.0001,64.0,15.0,5x60-10,0.05881261595547309,2.8894419272740683,4.5
0.0001,64.0,20.0,15x15-10,0.06801470588235295,2.8889522658454045,4.5
0.0001,64.0,20.0,20x20-10,0.06710526315789472,2.888772792286343,4.5
0.0001,64.0,20.0,25x25-10,0.06213592233009709,2.8892857339647087,4.5
0.0001,64.0,20.0,5x60-10,0.05918367346938776,2.889172988467746,4.5
0.0001,128.0,10.0,15x15-10,0.06525735294117647,2.8906394720077513,4.5
0.0001,128.0,10.0,20x20-10,0.058458646616541356,2.889966077804565,4.5
0.0001,128.0,10.0,25x25-10,0.059223300970873784,2.8900220680236814,4.5
0.0001,128.0,10.0,5x60-10,0.05176252319109461,2.8903944492340083,4.5
0.0001,128.0,15.0,15x15-10,0.06544117647058824,2.8901558113098145,4.5
0.0001,128.0,15.0,20x20-10,0.057518796992481205,2.890175051689148,4.5
0.0001,128.0,15.0,25x25-10,0.05631067961165048,2.8904168319702146,4.5
0.0001,128.0,15.0,5x60-10,0.05732838589981448,2.8898530960083013,4.5
0.0001,128.0,20.0,15x15-10,0.06378676470588235,2.889636926651001,4.5
0.0001,128.0,20.0,20x20-10,0.062406015037593986,2.890123805999756,4.5
0.0001,128.0,20.0,25x25-10,0.05980582524271845,2.8896591997146612,4.5
0.0001,128.0,20.0,5x60-10,0.05120593692022264,2.8903109741210935,4.5
0.001,32.0,10.0,15x15-10,0.0775735294117647,2.873354527529548,4.5
0.001,32.0,10.0,20x20-10,0.0712406015037594,2.874937457196853,4.5
0.001,32.0,10.0,25x25-10,0.07728155339805824,2.8748630299287683,4.5
0.001,32.0,10.0,5x60-10,0.07012987012987013,2.8757883352391858,4.5
0.001,32.0,15.0,15x15-10,0.07481617647058823,2.851301141346202,4.5
0.001,32.0,15.0,20x20-10,0.07030075187969927,2.854772386831396,4.5
0.001,32.0,15.0,25x25-10,0.07514563106796115,2.85596945846782,4.5
0.001,32.0,15.0,5x60-10,0.07272727272727272,2.8533681238398834,4.5
0.001,32.0,20.0,15x15-10,0.15625,2.559185142376844,4.5
0.001,32.0,20.0,20x20-10,0.14718045112781955,2.5814192968256333,4.5
0.001,32.0,20.0,25x25-10,0.11262135922330097,2.6748856292051424,4.5
0.001,32.0,20.0,5x60-10,0.10111317254174397,2.6589018190608305,4.5
0.001,64.0,10.0,15x15-10,0.07977941176470589,2.8819202529059518,4.5
0.001,64.0,10.0,20x20-10,0.07406015037593985,2.882383145226373,4.5
0.001,64.0,10.0,25x25-10,0.07378640776699029,2.8813895331488713,4.5
0.001,64.0,10.0,5x60-10,0.06846011131725417,2.882813954353333,4.5
0.001,64.0,15.0,15x15-10,0.0744485294117647,2.8777518113454184,4.5
0.001,64.0,15.0,20x20-10,0.07180451127819548,2.878398606512281,4.5
0.001,64.0,15.0,25x25-10,0.07398058252427184,2.878691922293769,4.5
0.001,64.0,15.0,5x60-10,0.07699443413729129,2.879752548535665,4.5
0.001,64.0,20.0,15x15-10,0.071875,2.873351340823703,4.5
0.001,64.0,20.0,20x20-10,0.07650375939849623,2.8739442454444033,4.5
0.001,64.0,20.0,25x25-10,0.07495145631067959,2.87600662973192,4.5
0.001,64.0,20.0,5x60-10,0.07012987012987013,2.8762365897496536,4.5
0.001,128.0,10.0,15x15-10,0.07408088235294118,2.886508069038391,4.5
0.001,128.0,10.0,20x20-10,0.06785714285714287,2.8859107542037963,4.5
0.001,128.0,10.0,25x25-10,0.06893203883495144,2.8851472711563106,4.5
0.001,128.0,10.0,5x60-10,0.06307977736549164,2.886501784324646,4.5
0.001,128.0,15.0,15x15-10,0.07150735294117647,2.883968930244446,4.5
0.001,128.0,15.0,20x20-10,0.075,2.8839012193679805,4.5
0.001,128.0,15.0,25x25-10,0.07223300970873785,2.884796805381775,4.5
0.001,128.0,15.0,5x60-10,0.06623376623376623,2.8845566225051877,4.5
0.001,128.0,20.0,15x15-10,0.07371323529411763,2.881301441192627,4.5
0.001,128.0,20.0,20x20-10,0.07387218045112781,2.8825265073776247,4.5
0.001,128.0,20.0,25x25-10,0.07339805825242719,2.881718006134033,4.5
0.001,128.0,20.0,5x60-10,0.06846011131725417,2.883692293167114,4.5
0.01,32.0,10.0,15x15-10,0.9902573529411764,0.03647622400723562,4.5
0.01,32.0,10.0,20x20-10,0.9469924812030076,0.1724475750097019,4.5
0.01,32.0,10.0,25x25-10,0.9654368932038835,0.11812999905138415,4.5
0.01,32.0,10.0,5x60-10,0.42894248608534324,1.410885060184142,4.5
0.01,32.0,15.0,15x15-10,0.9944852941176471,0.018577311319249393,4.5
0.01,32.0,15.0,20x20-10,0.9699248120300753,0.10495318922844221,4.5
0.01,32.0,15.0,25x25-10,0.9920388349514564,0.02371013850248774,4.5
0.01,32.0,15.0,5x60-10,0.6988868274582561,0.7563927845043295,4.5
0.01,32.0,20.0,15x15-10,0.9954044117647058,0.016726098161041803,4.5
0.01,32.0,20.0,20x20-10,0.9898496240601504,0.03036053586556056,4.5
0.01,32.0,20.0,25x25-10,0.9933980582524271,0.016605144933925977,4.5
0.01,32.0,20.0,5x60-10,0.8664192949907236,0.3310529909589711,4.5
0.01,64.0,10.0,15x15-10,0.9215073529411765,0.22157045946353016,4.5
0.01,64.0,10.0,20x20-10,0.7225563909774435,0.7173505956927937,4.5
0.01,64.0,10.0,25x25-10,0.5419417475728155,1.198650322523382,4.5
0.01,64.0,10.0,5x60-10,0.27476808905380334,1.8898541185590958,4.5
0.01,64.0,15.0,15x15-10,0.9836397058823529,0.05253043134645041,4.5
0.01,64.0,15.0,20x20-10,0.9513157894736844,0.13583503599382107,4.5
0.01,64.0,15.0,25x25-10,0.9574757281553398,0.12954124104694026,4.5
0.01,64.0,15.0,5x60-10,0.3521335807050092,1.594658941692776,4.5
0.01,64.0,20.0,15x15-10,0.9931985294117645,0.02692597483465862,4.5
0.01,64.0,20.0,20x20-10,0.9678571428571427,0.09471724555931157,4.5
0.01,64.0,20.0,25x25-10,0.9720388349514563,0.10682760268250098,4.5
0.01,64.0,20.0,5x60-10,0.5168831168831168,1.1816520114739737,4.5
0.01,128.0,10.0,15x15-10,0.1411764705882353,2.6240435028076172,4.5
0.01,128.0,10.0,20x20-10,0.1330827067669173,2.6112588071823124,4.5
0.01,128.0,10.0,25x25-10,0.11980582524271846,2.6528070640563963,4.5
0.01,128.0,10.0,5x60-10,0.0992578849721707,2.6948205614089966,4.5
0.01,128.0,15.0,15x15-10,0.6371323529411764,0.9754530394077301,4.5
0.01,128.0,15.0,20x20-10,0.4883458646616542,1.3689709579944611,4.5
0.01,128.0,15.0,25x25-10,0.2766990291262136,1.9122624397277832,4.5
0.01,128.0,15.0,5x60-10,0.2116883116883117,2.1174453401565554,4.5
0.01,128.0,20.0,15x15-10,0.9555147058823529,0.1396344676613808,4.5
0.01,128.0,20.0,20x20-10,0.8501879699248122,0.39857777893543245,4.5
0.01,128.0,20.0,25x25-10,0.614757281553398,1.0102157789142803,4.5
0.01,128.0,20.0,5x60-10,0.29294990723562153,1.751732678413391,4.5
