lr,batch_size,epoch,wxh-stride,acc,loss,trial_num
0.0001,32.0,10.0,15x15-10,0.061443298969072156,2.8890155881643294,2.0
0.0001,32.0,10.0,20x20-10,0.06864406779661017,2.8891368770599364,2.0
0.0001,32.0,10.0,25x25-10,0.0692982456140351,2.8887940438588453,2.0
0.0001,32.0,10.0,5x60-10,0.05845511482254697,2.889078009923299,2.0
0.0001,32.0,15.0,15x15-10,0.05855670103092784,2.888900804519653,2.0
0.0001,32.0,15.0,20x20-10,0.0614406779661017,2.8884756215413416,2.0
0.0001,32.0,15.0,25x25-10,0.06798245614035088,2.888021910985311,2.0
0.0001,32.0,15.0,5x60-10,0.05803757828810021,2.8883006223042806,2.0
0.0001,32.0,20.0,15x15-10,0.06103092783505154,2.8879992038011553,2.0
0.0001,32.0,20.0,20x20-10,0.0597457627118644,2.8878216139475508,2.0
0.0001,32.0,20.0,25x25-10,0.06929824561403508,2.8874586709340413,2.0
0.0001,32.0,20.0,5x60-10,0.06012526096033403,2.8876857344309483,2.0
0.0001,64.0,10.0,15x15-10,0.05525773195876289,2.8898572444915773,2.0
0.0001,64.0,10.0,20x20-10,0.0635593220338983,2.8897996723651884,2.0
0.0001,64.0,10.0,25x25-10,0.06666666666666668,2.889573782682419,2.0
0.0001,64.0,10.0,5x60-10,0.05762004175365345,2.889716160297394,2.0
0.0001,64.0,15.0,15x15-10,0.05814432989690721,2.889491879940033,2.0
0.0001,64.0,15.0,20x20-10,0.06313559322033899,2.8894522309303285,2.0
0.0001,64.0,15.0,25x25-10,0.06754385964912282,2.8891569674015045,2.0
0.0001,64.0,15.0,5x60-10,0.055949895615866385,2.8893339037895203,2.0
0.0001,64.0,20.0,15x15-10,0.060206185567010316,2.8892863750457765,2.0
0.0001,64.0,20.0,20x20-10,0.06610169491525424,2.8889288663864137,2.0
0.0001,64.0,20.0,25x25-10,0.06622807017543861,2.888920396566391,2.0
0.0001,64.0,20.0,5x60-10,0.06388308977035491,2.8890632927417754,2.0
0.0001,128.0,10.0,15x15-10,0.05731958762886598,2.890175473690033,2.0
0.0001,128.0,10.0,20x20-10,0.06313559322033899,2.8901514172554017,2.0
0.0001,128.0,10.0,25x25-10,0.07061403508771928,2.8899526596069336,2.0
0.0001,128.0,10.0,5x60-10,0.05762004175365345,2.8901745200157167,2.0
0.0001,128.0,15.0,15x15-10,0.061030927835051554,2.890016198158264,2.0
0.0001,128.0,15.0,20x20-10,0.06567796610169492,2.8899895906448365,2.0
0.0001,128.0,15.0,25x25-10,0.0706140350877193,2.889765000343323,2.0
0.0001,128.0,15.0,5x60-10,0.06221294363256784,2.8899239778518675,2.0
0.0001,128.0,20.0,15x15-10,0.061030927835051554,2.889877939224243,2.0
0.0001,128.0,20.0,20x20-10,0.060169491525423724,2.8897449731826783,2.0
0.0001,128.0,20.0,25x25-10,0.0649122807017544,2.8895534753799437,2.0
0.0001,128.0,20.0,5x60-10,0.059290187891440506,2.889803886413574,2.0
0.001,32.0,10.0,15x15-10,0.06020618556701031,2.8830556333065034,2.0
0.001,32.0,10.0,20x20-10,0.06313559322033899,2.8815091546376546,2.0
0.001,32.0,10.0,25x25-10,0.0692982456140351,2.879324220021566,2.0
0.001,32.0,10.0,5x60-10,0.06597077244258873,2.8805289522806805,2.0
0.001,32.0,15.0,15x15-10,0.06020618556701031,2.88357652425766,2.0
0.001,32.0,15.0,20x20-10,0.06313559322033899,2.879740810394287,2.0
0.001,32.0,15.0,25x25-10,0.0706140350877193,2.876448049545288,2.0
0.001,32.0,15.0,5x60-10,0.06722338204592901,2.877942113876343,2.0
0.001,32.0,20.0,15x15-10,0.06020618556701031,2.880131244659424,2.0
0.001,32.0,20.0,20x20-10,0.06313559322033899,2.878159761428833,2.0
0.001,32.0,20.0,25x25-10,0.06754385964912281,2.875473108291626,2.0
0.001,32.0,20.0,5x60-10,0.06638830897703549,2.8763539727528893,2.0
0.001,64.0,10.0,15x15-10,0.06020618556701031,2.8856848418712615,2.0
0.001,64.0,10.0,20x20-10,0.06313559322033899,2.88469677567482,2.0
0.001,64.0,10.0,25x25-10,0.07149122807017544,2.883726727962494,2.0
0.001,64.0,10.0,5x60-10,0.06430062630480167,2.884208530187607,2.0
0.001,64.0,15.0,15x15-10,0.06020618556701031,2.884097534418106,2.0
0.001,64.0,15.0,20x20-10,0.06313559322033899,2.8834392726421356,2.0
0.001,64.0,15.0,25x25-10,0.0706140350877193,2.8814874291419983,2.0
0.001,64.0,15.0,5x60-10,0.06764091858037577,2.88211070895195,2.0
0.001,64.0,20.0,15x15-10,0.06020618556701031,2.883270299434662,2.0
0.001,64.0,20.0,20x20-10,0.06313559322033899,2.8807792723178864,2.0
0.001,64.0,20.0,25x25-10,0.07280701754385965,2.8808795690536497,2.0
0.001,64.0,20.0,5x60-10,0.06680584551148225,2.880346584320068,2.0
0.001,128.0,10.0,15x15-10,0.059793814432989686,2.887708365917206,2.0
0.001,128.0,10.0,20x20-10,0.060593220338983046,2.8873454332351685,2.0
0.001,128.0,10.0,25x25-10,0.07236842105263158,2.8865617990493773,2.0
0.001,128.0,10.0,5x60-10,0.060960334029227556,2.8872045993804933,2.0
0.001,128.0,15.0,15x15-10,0.06020618556701031,2.8865548014640807,2.0
0.001,128.0,15.0,20x20-10,0.06398305084745762,2.886193060874939,2.0
0.001,128.0,15.0,25x25-10,0.07236842105263158,2.884879970550537,2.0
0.001,128.0,15.0,5x60-10,0.060960334029227556,2.885708475112915,2.0
0.001,128.0,20.0,15x15-10,0.06020618556701031,2.8857599973678587,2.0
