,linear_mul,loss,lr,lstm_size,trial_num
0,2.0,0.07023776670296987,0.001,16.0,0.0
1,4.0,0.11829031556844712,0.001,16.0,0.0
2,8.0,0.12289198736349742,0.001,16.0,0.0
3,2.0,0.04818564976255099,0.001,32.0,0.0
4,4.0,0.06803800538182259,0.001,32.0,0.0
5,8.0,0.07386551896731058,0.001,32.0,0.0
6,2.0,0.027908068026105563,0.001,64.0,0.0
7,4.0,0.0324663416792949,0.001,64.0,0.0
8,8.0,0.06358050977190335,0.001,64.0,0.0
9,2.0,0.017478432630499204,0.001,128.0,0.0
10,4.0,0.017104567835728328,0.001,128.0,0.0
11,8.0,0.03892978206276894,0.001,128.0,0.0
12,2.0,0.010900464312483867,0.01,16.0,0.0
13,4.0,0.006183843516434233,0.01,16.0,0.0
14,8.0,0.010137713762621086,0.01,16.0,0.0
15,2.0,0.0062095791256676115,0.01,32.0,0.0
16,4.0,0.0027097403265846274,0.01,32.0,0.0
17,8.0,0.0034969206356133026,0.01,32.0,0.0
18,2.0,0.0056401646696031095,0.01,64.0,0.0
19,4.0,0.0021340506927420696,0.01,64.0,0.0
20,8.0,0.0026895109253625075,0.01,64.0,0.0
21,2.0,0.004150158306583762,0.01,128.0,0.0
22,4.0,0.0010319722156661253,0.01,128.0,0.0
23,8.0,0.0009633614002571752,0.01,128.0,0.0
24,2.0,0.006059319650133451,0.1,16.0,0.0
25,4.0,0.006499497685581446,0.1,16.0,0.0
26,8.0,0.004312145694469412,0.1,16.0,0.0
27,2.0,0.010982049504915874,0.1,32.0,0.0
28,4.0,0.0019450896885246038,0.1,32.0,0.0
29,8.0,0.018154662412901718,0.1,32.0,0.0
30,2.0,0.02926197163760662,0.1,64.0,0.0
31,4.0,0.0011880502589823058,0.1,64.0,0.0
32,8.0,0.0012098324562733371,0.1,64.0,0.0
33,2.0,0.018811486661434174,0.1,128.0,0.0
34,4.0,0.006364578877886136,0.1,128.0,0.0
35,8.0,0.003066790740316113,0.1,128.0,0.0
36,2.0,0.06091621393958727,0.001,16.0,1.0
37,4.0,0.06507094899813334,0.001,16.0,1.0
38,8.0,0.12179835240046183,0.001,16.0,1.0
39,2.0,0.023682074372967085,0.001,32.0,1.0
40,4.0,0.0416031281153361,0.001,32.0,1.0
41,8.0,0.0695287048816681,0.001,32.0,1.0
42,2.0,0.022573718490699928,0.001,64.0,1.0
43,4.0,0.026958910996715227,0.001,64.0,1.0
44,8.0,0.05061702653765678,0.001,64.0,1.0
45,2.0,0.01689151246100664,0.001,128.0,1.0
46,4.0,0.020493615667025247,0.001,128.0,1.0
47,8.0,0.035705097019672394,0.001,128.0,1.0
48,2.0,0.008779016975313424,0.01,16.0,1.0
49,4.0,0.0090904935883979,0.01,16.0,1.0
50,8.0,0.00929167370001475,0.01,16.0,1.0
